country_ioc,continent,languages
JPN,Asia,ja
RUS,Europe,"ru,tt,xal,cau,ady,kv,ce,tyv,cv,udm,tut,mns,bua,myv,mdf,chm,ba,inh,tut,kbd,krc,ava,sah,nog"
FRA,Europe,"fr-FR,frp,br,co,ca,eu,oc"
AUS,Oceania,en-AU
CAN,America,"en-CA,fr-CA,iu"
BUL,Europe,"bg,tr-BG"
GBR,Europe,"en-GB,cy-GB,gd"
SRB,Europe,"sr,hu,bs,rom"
USA,America,"en-US,es-US,haw,fr"
ESP,Europe,"es-ES,ca,gl,eu,oc"
CZE,Europe,"cs,sk"
ITA,Europe,"it-IT,de-IT,fr-IT,sc,ca,co,sl"
GEO,Europe,"ka,ru,hy,az"
SUI,Europe,"de-CH,fr-CH,it-CH,rm"
HUN,Europe,hu-HU
CHI,America,es-CL
LTU,Europe,"lt,ru,pl"
ARG,America,"es-AR,en,it,de,fr,gn"
GER,Europe,de
RSA,Africa,"zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr"
CRO,Europe,"hr-HR,sr"
BEL,Europe,"nl-BE,fr-BE,de-BE"
TUN,Africa,"ar-TN,fr"
LAT,Europe,"lv,ru,lt"
BLR,Europe,"be,ru"
IND,Asia,"en-IN,hi,bn,te,mr,ta,ur,gu,kn,ml,or,pa,as,bh,sat,ks,ne,sd,kok,doi,mni,sit,sa,fr,lus,inc"
POR,Europe,"pt-PT,mwl"
NZL,Oceania,"en-NZ,mi"
GRE,Europe,"el-GR,en,fr"
SVK,Europe,"sk,hu"
AUT,Europe,"de-AT,hr,hu,sl"
KOR,Asia,"ko-KR,en"
ROU,Europe,"ro,hu,rom"
MDA,Europe,"ro,ru,gag,tr"
URU,America,
NED,Europe,"nl-NL,fy-NL"
SLO,Europe,"sl,sh"
CYP,Europe,"el-CY,tr-CY,en"
KAZ,Asia,"kk,ru"
TPE,Asia,"zh-TW,zh,nan,hak"
UZB,Asia,"uz,ru,tg"
BIH,Europe,"bs,hr-BA,sr-BA"
UKR,Europe,"uk,ru-UA,rom,pl,hu"
POL,Europe,pl
NOR,Europe,"no,nb,nn,se,fi"
BOL,America,"es-BO,qu,ay"
BRA,America,"pt-BR,es,en,fr"
COL,America,es-CO
SWE,Europe,"sv-SE,se,sma,fi-SE"
TUR,Europe,"tr-TR,ku,diq,az,av"
CHN,Asia,"zh-CN,yue,wuu,dta,ug,za"
BAR,America,en-BB
DOM,America,es-DO
ECU,America,es-EC
FIN,Europe,"fi-FI,sv-FI,smn"
GUA,America,es-GT
MEX,America,es-MX
PER,America,"es-PE,qu,ay"
ESA,America,es-SV
INA,Asia,"id,en,nl,jv"
THA,Asia,"th,en"
PHI,Asia,"tl,en-PH,fil"
DEN,Europe,"da-DK,en,fo,de-DK"
EGY,Africa,"ar-EG,en,fr"
ALG,Africa,ar-DZ
ZIM,Africa,"en-ZW,sn,nr,nd"
LUX,Europe,"lb,de-LU,fr-LU"
PAK,Asia,"ur-PK,en-PK,pa,sd,ps,brh"
ISR,Asia,"he,ar-IL,en-IL,"
EST,Europe,"et,ru"
MAR,Africa,"ar-MA,fr"
HKG,Asia,"zh-HK,yue,zh,en"
IRL,Europe,"en-IE,ga-IE"
LIB,Africa,"ar-LY,it,en"
SRI,Asia,"si,ta,en"
VEN,America,es-VE
MNE,Europe,"sr,hu,bs,sq,hr,rom"
PAR,America,"es-PY,gn"
PNG,Oceania,"en-PG,ho,meu,tpi"
SIN,Asia,"cmn,en-SG,ms-SG,ta-SG,zh-SG"
LIE,Europe,de-LI
GRN,Europe,en-GD
BAH,America,en-BS
CUB,America,es-CU
TRI,America,"en-TT,hns,fr,es,zh"
OMA,Africa,"ar-OM,en,bal,ur"
MLT,Europe,"mt,en-MT"
MKD,Europe,"mk,sq,tr,rmm,sr"
KGZ,Asia,"ky,uz,ru"
MAS,Asia,"ms-MY,en,zh,ta,te,ml,pa,th"
BDI,Africa,"fr-BI,rn"
MRI,Africa,"en-MU,bho,fr"
PUR,America,"en-PR,es-PR"
SAM,Oceania,"sm,en-WS"
KEN,Africa,"en-KE,sw-KE"
ARM,Asia,hy
NAM,Africa,"en-NA,af,de,hz,naq"
REU,Africa,fr-RE
UNK,Europe,"sq,sr"
MON,Europe,"fr-MC,en,it"
HAI,America,"ht,fr-HT"
VIE,Europe,"vi,en,fr,zh,km"
HON,America,es-HN
PAN,America,"es-PA,en"
CRC,America,"es-CR,en"
SGP,Asia,"cmn,en-SG,ms-SG,ta-SG,zh-SG"
TJK,Asia,"tg,ru"
POC,Unknown,
IRI,Asia,"fa-IR,ku"
PHL,Asia,"tl,en-PH,fil"
MGL,Asia,"mn,ru"
GUM,Oceania,"en-GU,ch-GU"
GAB,Africa,fr-GA
NGR,Africa,"en-NG,ha,yo,ig,ff"
GUD,America,fr-GP
CAM,Asia,"km,fr,en"
CMR,Africa,"en-CM,fr-CM"
KUW,Asia,"ar-KW,en"
MAD,Africa,"fr-MG,mg"
AND,Europe,ca
DEU,Europe,de
NLD,Europe,"nl-NL,fy-NL"
NGA,Africa,"en-NG,ha,yo,ig,ff"
GRC,Europe,"el-GR,en,fr"
